TimetableSlot,StudentAvailibility
CS2-044_Monday_12:00,Monday_12:00
CSG-001_Tuesday_09:00,Tuesday_09:00
CS2-044_Friday_11:00,Friday_11:00
CS2-044_Friday_12:00,Friday_12:00
CSG-001_Monday_09:00,Monday_09:00
CSG-001_Tuesday_10:00,Tuesday_10:00
CSG-001_Tuesday_12:00,Tuesday_12:00
CSG-001_Thursday_10:00,Thursday_10:00
CS3-004b_Friday_10:00,Friday_10:00
CSG-001_Wednesday_09:00,Wednesday_09:00
CSG-001_Tuesday_11:00,Tuesday_11:00
CS3-005b_Wednesday_10:00,Wednesday_10:00
CSG-001_Thursday_09:00,Thursday_09:00
CSG-001_Monday_10:00,Monday_10:00
CS3-005b_Monday_11:00,Monday_11:00
CS2-045_Friday_09:00,Friday_09:00
CSG-001_Tuesday_13:00,Tuesday_13:00
